word,frequency,Lg10WF
picture,0.0001420165423829173,3.8489
questions,0.00012099865726888974,3.7794
broke,0.00010770409070394026,3.7288
pass,0.0001109020272906679,3.7415
tired,0.00011554808610534768,3.7594
watching,0.00010219318111423352,3.706
em,0.00025842947926329194,4.1089
quiet,0.00012023437053747057,3.7766
anywhere,0.00009052775205573017,3.6534
wear,0.00011214902143140446,3.7464
finish,0.00010146912000025744,3.7029
mistake,0.00010458660535209886,3.7161
ride,0.00013885883141363277,3.8392
fault,0.00010679901431147017,3.7252
ladies,0.0001418757527218664,3.8485
needed,0.00009690351242046389,3.683
quick,0.00011146518593487151,3.7437
choice,0.00010006122338974842,3.6969
act,0.00011192778053546733,3.7455
cannot,0.00013002930838486906,3.8106
given,0.00009756723510827529,3.6859
hasn,0.0000930217403372033,3.6652
child,0.00016170698212132208,3.9053
caught,0.00009636046658498185,3.6805
shall,0.00018988502714022408,3.9751
worried,0.00009716497893384415,3.6841
dog,0.00019780947377651774,3.9928
sister,0.00018517862989937963,3.9642
red,0.00015187181865648048,3.8781
coffee,0.00014825151308660013,3.8676
spend,0.0000956766310884489,3.6774
kept,0.00009169429496158052,3.659
mouth,0.00010710070644229354,3.7264
certainly,0.00012202441051368917,3.783
yesterday,0.00009925671104088612,3.6934
sitting,0.00009682306118557767,3.6826
attention,0.0001012076534868772,3.7018
stick,0.00009961874159787415,3.695
daughter,0.00017576583541769074,3.9415
date,0.00014517425335220182,3.8585
power,0.0001528573462838368,3.8809
gun,0.00021868656922949438,4.0364
mad,0.00011633248564548842,3.7623
loved,0.00011317477467620389,3.7504
middle,0.00009149316687436494,3.658
gentlemen,0.00015836825587354353,3.8963
decided,0.00009093000823016133,3.6553
write,0.00013006953400231217,3.8108
human,0.0001279778018952702,3.8037
o,0.0001930427381095086,3.9822
wake,0.00010792533159987739,3.7297
perhaps,0.0001395627797188873,3.8414
missed,0.00009187531024007453,3.6598
others,0.00010179092493980236,3.7043
parents,0.00014434962819461798,3.856
month,0.00009762757353443997,3.6862
across,0.00009656159467219742,3.6814
besides,0.00008704823614690074,3.6364
table,0.0001083477005830301,3.7314
appreciate,0.00008795331253937082,3.6409
ran,0.0000864046262678109,3.6332
simple,0.00009161384372669428,3.6586
suppose,0.00012904378075751272,3.8073
bitch,0.00017315117028388828,3.935
secret,0.00011233003670989847,3.7471
personal,0.00009402738077328118,3.6699
blow,0.00010008133619846998,3.697
short,0.00008783263568704148,3.6403
instead,0.00008131608566125686,3.6068
near,0.00008523808336196056,3.6273
fair,0.0000971850917425657,3.6842
terrible,0.00009644091781986807,3.6809
dream,0.00013672687368914769,3.8324
relax,0.00009927682384960768,3.6935
evening,0.00012379433768118622,3.7893
smart,0.00009873377801412562,3.6911
happening,0.0000928809506761524,3.6645
clothes,0.00010374186738579343,3.7126
wearing,0.00008869748646206844,3.6445
win,0.00013811465749093515,3.8368
cover,0.00009670238433324833,3.6821
seven,0.00010714093205973665,3.7266
finished,0.00008586158043232884,3.6304
enjoy,0.00008491627842241564,3.6256
road,0.0001148240249913716,3.7566
um,0.000225203119255279,4.0491
interesting,0.00008891872735800558,3.6456
tough,0.00009284072505870929,3.6644
kiss,0.00012427704509050363,3.791
ma,0.0001905889754454786,3.9767
surprise,0.00009119147474354157,3.6566
forever,0.00009109091069993378,3.6561
lying,0.00008994448060280501,3.6506
floor,0.00010321893435903295,3.7104
imagine,0.00008312623844619704,3.6164
join,0.00008558000111022704,3.629
standing,0.00008033055803390054,3.6015
music,0.0001555524626525255,3.8885
bought,0.00008773207164343369,3.6398
stopped,0.00007731363672566693,3.5849
strong,0.0000890997426364996,3.6465
eight,0.00010076517169500293,3.6999
completely,0.00008654541592886179,3.6339
charge,0.00009169429496158052,3.659
interested,0.00008797342534809238,3.641
state,0.00011062044796856609,3.7404
count,0.00009227756641450568,3.6617
certain,0.00008757116917366122,3.639
daddy,0.00018984480152278097,3.975
paid,0.00008787286130448459,3.6405
dr,0.00030559401571534424,4.1817
lunch,0.00010679901431147017,3.7252
calls,0.00008240217733222096,3.6126
future,0.00010615540443238033,3.7226
dark,0.00009088978261271822,3.6551
entire,0.0000818591314967389,3.6097
missing,0.0000901858343074637,3.6518
paper,0.00010601461477132943,3.722
team,0.00015140922405588463,3.8767
present,0.00009175463338774518,3.6593
proud,0.00008578112919744262,3.63
report,0.00011078135043833855,3.7411
mess,0.00008014954275540652,3.6005
hospital,0.00012739453044234502,3.8017
return,0.00009404749358200273,3.67
realize,0.00008109484476531973,3.6056
afternoon,0.00009384636549478715,3.669
weird,0.00010370164176835032,3.7124
difference,0.00008177868026185268,3.6093
swear,0.0000904271880121224,3.6529
fix,0.00008901929140161337,3.6461
pain,0.00010046347956417956,3.6986
born,0.00008584146762360728,3.6303
likes,0.00007821871311813701,3.5899
war,0.00017924535132652017,3.95
pleasure,0.00008282454631537367,3.6148
putting,0.00006973110783763975,3.5401
figured,0.00007829916435302323,3.5904
shit,0.0004868707607227417,4.384
strange,0.00008865726084462533,3.6443
spent,0.0000718831783708464,3.5533
million,0.00012359320959397067,3.7886
neither,0.00006940930289809483,3.5381
during,0.00007787679536987054,3.588
liked,0.00008079315263449636,3.604
law,0.00011930918133627892,3.7733
lead,0.00008539898583173302,3.6281
using,0.00007079708669988229,3.5467
bag,0.00009646103062858963,3.681
situation,0.00008461458629159229,3.6241
starting,0.00007156137343130148,3.5513
age,0.00008123563442637063,3.6064
sex,0.00015609550848800753,3.89
blue,0.00010502908714397311,3.7179
lovely,0.0000976074607257184,3.6861
